,gene_id,database,kegg_id
961,BSU_03070,KEGG_pathway,-
962,BSU_03080,KEGG_pathway,-
963,BSU_03090,KEGG_pathway,-
964,BSU_03100,KEGG_pathway,-
965,BSU_03110,KEGG_pathway,-
966,BSU_03120,KEGG_pathway,-
969,BSU_03130,KEGG_pathway,map00760
970,BSU_03130,KEGG_pathway,map01100
971,BSU_03140,KEGG_pathway,-
977,BSU_03150,KEGG_pathway,map00400
978,BSU_03150,KEGG_pathway,map01100
979,BSU_03150,KEGG_pathway,map01110
980,BSU_03150,KEGG_pathway,map01130
981,BSU_03150,KEGG_pathway,map01230
982,BSU_03160,KEGG_pathway,-
984,BSU_03170,KEGG_pathway,map02026
987,BSU_03180,KEGG_pathway,map00311
988,BSU_03180,KEGG_pathway,map01130
989,BSU_03190,KEGG_pathway,-
994,BSU_03200,KEGG_pathway,map00330
995,BSU_03200,KEGG_pathway,map01100
996,BSU_03200,KEGG_pathway,map01110
997,BSU_03200,KEGG_pathway,map01130
1003,BSU_03210,KEGG_pathway,map00250
1004,BSU_03210,KEGG_pathway,map00330
1005,BSU_03210,KEGG_pathway,map01100
1006,BSU_03210,KEGG_pathway,map01110
1007,BSU_03210,KEGG_pathway,map01130
1008,BSU_03220,KEGG_pathway,-
1009,BSU_03230,KEGG_pathway,-
1010,BSU_03240,KEGG_pathway,-
1011,BSU_03250,KEGG_pathway,-
1012,BSU_03260,KEGG_pathway,-
1013,BSU_03270,KEGG_pathway,-
1018,BSU_03280,KEGG_pathway,map00860
1019,BSU_03280,KEGG_pathway,map01100
1020,BSU_03280,KEGG_pathway,map01110
1021,BSU_03280,KEGG_pathway,map01120
1026,BSU_03290,KEGG_pathway,map00360
1027,BSU_03290,KEGG_pathway,map00910
1028,BSU_03290,KEGG_pathway,map01120
1029,BSU_03290,KEGG_pathway,map01220
1032,BSU_03300,KEGG_pathway,map00910
1033,BSU_03300,KEGG_pathway,map01120
1036,BSU_03310,KEGG_pathway,map00910
1037,BSU_03310,KEGG_pathway,map01120
1040,BSU_03320,KEGG_pathway,map00910
1041,BSU_03320,KEGG_pathway,map01120
1043,BSU_03330,KEGG_pathway,map00910
1046,BSU_03340,KEGG_pathway,map00790
1047,BSU_03340,KEGG_pathway,map01100
1048,BSU_03350,KEGG_pathway,-
1049,BSU_03360,KEGG_pathway,-
1051,BSU_03370,KEGG_pathway,map02010
1053,BSU_03380,KEGG_pathway,map02010
1054,BSU_03390,KEGG_pathway,-
1055,BSU_03400,KEGG_pathway,-
1062,BSU_03410,KEGG_pathway,map00010
1063,BSU_03410,KEGG_pathway,map00460
1064,BSU_03410,KEGG_pathway,map00500
1065,BSU_03410,KEGG_pathway,map00940
1066,BSU_03410,KEGG_pathway,map01100
1067,BSU_03410,KEGG_pathway,map01110
1068,BSU_03420,KEGG_pathway,-
1069,BSU_03430,KEGG_pathway,-
1072,BSU_03440,KEGG_pathway,map02020
1073,BSU_03440,KEGG_pathway,map02030
1080,BSU_03450,KEGG_pathway,map00030
1081,BSU_03450,KEGG_pathway,map00680
1082,BSU_03450,KEGG_pathway,map01100
1083,BSU_03450,KEGG_pathway,map01120
1084,BSU_03450,KEGG_pathway,map01200
1085,BSU_03450,KEGG_pathway,map01230
1092,BSU_03460,KEGG_pathway,map00030
1093,BSU_03460,KEGG_pathway,map00680
1094,BSU_03460,KEGG_pathway,map01100
1095,BSU_03460,KEGG_pathway,map01120
1096,BSU_03460,KEGG_pathway,map01200
1097,BSU_03460,KEGG_pathway,map01230
1098,BSU_03470,KEGG_pathway,-
1101,BSU_03480,KEGG_pathway,map01054
1102,BSU_03480,KEGG_pathway,map02024
1105,BSU_03490,KEGG_pathway,map01054
1106,BSU_03490,KEGG_pathway,map02024
1109,BSU_03510,KEGG_pathway,map01054
1110,BSU_03510,KEGG_pathway,map02024
1112,BSU_03520,KEGG_pathway,map02024
1113,BSU_03530,KEGG_pathway,-
1114,BSU_03540,KEGG_pathway,-
1115,BSU_03550,KEGG_pathway,-
