Geneid,SRX7255900,SRX7255906,SRX7255905,SRX7255902,SRX7255887,SRX7255895,SRX7255891,SRX7255892,SRX7255916,SRX7255889,SRX7255917,SRX7255909,SRX7255913,SRX7255888,SRX7255897,SRX7255908,SRX7255912,SRX7255911,SRX7255914,SRX7255894,SRX7255904,SRX7255910,SRX7255907,SRX7255893,SRX7255901,SRX7255915,SRX7255890,SRX7255898,SRX7255899,SRX7255903,SRX7255896
BSU_32010,8839,1415,1537,4610,2944,2344,1542,1163,1686,3538,2,1639,794,2341,5361,2040,740,2402,565,1504,2977,1616,1675,2018,8514,1562,1574,7187,9969,3287,6832
BSU_32020,802,542,629,586,93,331,502,355,212,162,1,351,36,93,615,637,31,797,86,405,469,408,848,292,761,211,412,1014,821,601,898
BSU_32030,6370,912,978,4580,76,3578,10227,7746,961,99,10,734,121,80,3421,1925,129,431,304,3341,3069,902,1442,4143,6677,996,8103,5411,7478,3424,5084
BSU_32040,5960,4107,6518,3953,362,13024,24037,21965,1716,592,5,3144,354,264,12410,8994,345,6338,648,14617,2839,4168,7247,13345,7134,1417,22084,18799,7196,3239,17685
BSU_32050,6269,3757,4852,6768,2005,6302,4958,3725,1787,2408,2,3464,781,1493,3353,5609,648,4546,801,5837,4645,4029,5311,7910,5718,2426,4307,5484,6999,5405,5365
BSU_32060,2974,2891,3252,4663,877,1624,2097,1695,5637,997,0,2280,874,922,1469,3860,623,5213,2305,1438,3679,2304,4001,1737,2966,3352,1854,2270,3554,3796,2294
BSU_32070,1925,2163,2468,2943,97,447,1601,1161,288,159,54,1580,119,98,478,1963,608,1712,615,395,1968,1689,3206,334,1676,280,1278,768,1693,2605,569
BSU_32080,15935,9813,10931,26107,7257,3319,4897,3284,7212,9382,31,6811,1263,5980,2352,15247,1146,10551,2615,3572,17657,6514,13544,3935,13776,6389,4064,3663,12961,21276,3047
BSU_32090,6427,3252,3127,11352,225,2001,3641,2860,2174,352,4,2544,442,208,1033,7129,382,3572,620,1554,8281,2685,4381,1712,6507,1469,3194,1324,5288,9729,1058
BSU_32100,5238,5574,5819,4814,906,550,3206,2157,2483,1177,9,4342,748,862,318,5326,752,8322,1116,833,5207,4420,9835,1125,4234,2067,3113,537,6186,6880,557
BSU_32110,7246,3815,4842,5056,422,4705,15488,11449,2388,522,2,2826,502,418,6108,5858,365,4765,773,4311,3948,3150,6255,4795,7301,2479,13342,10308,9258,4461,8645
BSU_32120,458,258,270,272,47,136,597,449,99,65,0,130,17,48,151,272,18,245,44,160,279,142,438,99,406,78,558,256,358,353,294
BSU_32130,2107,1805,2623,836,21,1010,3002,2114,265,48,1,737,24,26,2140,1682,28,353,66,1689,502,489,3174,1104,3020,268,2470,3053,4210,712,3645
BSU_32140,2515,1721,2280,3166,101,457,415,327,267,277,3,1274,9,98,394,3724,23,259,33,383,2179,921,2780,462,2055,225,325,416,2833,2674,591
BSU_32150,1595,1153,1595,2209,15,140,181,131,186,82,0,910,6,20,188,2614,13,100,17,165,1493,708,1861,136,1271,139,157,221,1857,1882,276
BSU_32160,4992,4648,4849,5153,737,3184,5690,4054,1859,735,0,4619,358,643,2579,7628,312,5069,644,2944,4420,4464,7151,3120,5456,1861,4177,4372,5661,5650,3982
BSU_32170,2253,3125,3980,3060,361,759,2703,2227,565,503,0,3658,337,241,827,3448,312,3004,152,763,2254,3098,5279,873,2384,468,2460,1378,2565,3028,1302
BSU_32180,169,116,125,172,22,427,1234,1016,57,35,491,121,27,11,301,195,1753,163,4129,371,154,138,232,349,251,56,1025,559,271,159,459
