regulator,gene_id,effect
Spx,BSU38110,activation
Spx,BSU03500,repression
Spx,BSU29820,activation
Spx,BSU11560,activation
Spx,BSU27270,activation
Spx,BSU29490,activation
Spx,BSU21680,activation
Spx,BSU27280,activation
Spx,BSU22460,activation
Spx,BSU28500,activation
Spx,BSU27260,activation
Spx,BSU22500,activation
Spx,BSU22450,activation
Spx,BSU00710,activation
Spx,BSU22480,activation
DtrR,BSU38450,repression
DtrR,BSU38460,repression
HrcA,BSU25480,repression
HrcA,BSU25430,repression
HrcA,BSU25450,repression
HrcA,BSU06020,repression
HrcA,BSU25460,repression
HrcA,BSU25440,repression
HrcA,BSU25470,repression
HrcA,BSU25490,repression
HrcA,BSU06030,repression
SigA,BSU35230,sigma factor
SigA,BSU35690,sigma factor
SigA,BSU12930,sigma factor
SigA,BSU32500,sigma factor
SigA,BSU03350,sigma factor
SigA,BSU32610,sigma factor
SigA,BSU05450,sigma factor
SigA,BSU12900,sigma factor
SigA,BSU36900,sigma factor
SigA,BSU05500,sigma factor
SigA,BSU19480,sigma factor
SigA,BSU28700,sigma factor
SigA,BSU03340,sigma factor
SigA,BSU28030,sigma factor
SigA,BSU31890,sigma factor
SigA,BSU35490,sigma factor
SigA,BSU28140,sigma factor
SigA,BSU40350,sigma factor
SigA,BSU07390,sigma factor
SigA,BSU12350,sigma factor
SigA,BSU37250,sigma factor
SigA,BSU02280,sigma factor
SigA,BSU29670,sigma factor
SigA,BSU02670,sigma factor
SigA,BSU12000,sigma factor
SigA,BSU34720,sigma factor
SigA,BSU08860,sigma factor
SigA,BSU04470,sigma factor
SigA,BSU19890,sigma factor
SigA,BSU05820,sigma factor
SigA,BSU03220,sigma factor
SigA,BSU32570,sigma factor
SigA,BSU33130,sigma factor
SigA,BSU37650,sigma factor
SigA,BSU09280,sigma factor
SigA,BSU00800,sigma factor
SigA,BSU31460,sigma factor
SigA,BSU00780,sigma factor
SigA,BSU40050,sigma factor
SigA,BSU23260,sigma factor
SigA,BSU35600,sigma factor
SigA,BSU06030,sigma factor
SigA,BSU29390,sigma factor
SigA,BSU28750,sigma factor
SigA,BSU13900,sigma factor
SigA,BSU37270,sigma factor
SigA,BSU28130,sigma factor
SigA,BSU36290,sigma factor
SigA,BSU23130,sigma factor
SigA,BSU01250,sigma factor
SigA,BSU34740,sigma factor
SigA,BSU34360,sigma factor
SigA,BSU15720,sigma factor
SigA,BSU16230,sigma factor
SigA,BSU32490,sigma factor
SigA,BSU18000,sigma factor
SigA,BSU28540,sigma factor
SigA,BSU22480,sigma factor
SigA,BSU03359,sigma factor
SigA,BSU04690,sigma factor
SigA,BSU01935,sigma factor
SigA,BSU23110,sigma factor
SigA,BSU23270,sigma factor
SigA,BSU12340,sigma factor
SigA,BSU07820,sigma factor
SigA,BSU10270,sigma factor
SigA,BSU13600,sigma factor
SigA,BSU06510,sigma factor
SigA,BSU29360,sigma factor
SigA,BSU10110,sigma factor
SigA,BSU16330,sigma factor
SigA,BSU31190,sigma factor
SigA,BSU11500,sigma factor
SigA,BSU03280,sigma factor
SigA,BSU19180,sigma factor
SigA,BSU31490,sigma factor
SigA,BSU29350,sigma factor
SigA,BSU40180,sigma factor
SigA,BSU28000,sigma factor
SigA,BSU32600,sigma factor
